Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2017-11-18,0.043149,0.044999,0.0426,0.044625,79642.103,2017-11-18 23:59:59.999000064,3456.70894221,40917.0,35684.90000000,1550.09910367,0
2017-11-19,0.044672,0.048836,0.042818,0.043969,94360.631,2017-11-19 23:59:59.999000064,4301.99118411,47540.0,43707.78200000,1990.85914789,0
2017-11-20,0.043969,0.04561,0.043673,0.044715,101306.078,2017-11-20 23:59:59.999000064,4508.66744891,56593.0,50613.39800000,2253.57963145,0
2017-11-21,0.044709,0.046394,0.044,0.044673,99497.472,2017-11-21 23:59:59.999000064,4458.59936277,57055.0,44714.12400000,2005.03508040,0
2017-11-22,0.044673,0.046767,0.0441,0.046352,120872.047,2017-11-22 23:59:59.999000064,5410.60347758,74964.0,58518.92700000,2621.25172994,0
2017-11-23,0.046317,0.052357,0.04575,0.05075,154931.309,2017-11-23 23:59:59.999000064,7548.51849349,93406.0,73822.96500000,3599.87157706,0
2017-11-24,0.050841,0.058501,0.047851,0.05765,143892.124,2017-11-24 23:59:59.999000064,7580.70169051,105033.0,66470.79500000,3501.85737887,0
2017-11-25,0.05765,0.059401,0.05275,0.05275,105104.051,2017-11-25 23:59:59.999000064,5838.5404282,99420.0,48228.94400000,2679.22652621,0
2017-11-26,0.052802,0.052905,0.0478,0.050704,106260.859,2017-11-26 23:59:59.999000064,5382.8281764,98778.0,51437.46100000,2604.23900176,0
2017-11-27,0.050697,0.0512,0.048409,0.048897,103023.746,2017-11-27 23:59:59.999000064,5106.62221425,132736.0,47519.19500000,2355.81118306,0
2017-11-28,0.048896,0.049478,0.046144,0.047036,106882.329,2017-11-28 23:59:59.999000064,5107.63534604,96044.0,48680.84800000,2325.99948087,0
2017-11-29,0.04699,0.047887,0.042939,0.043414,178814.926,2017-11-29 23:59:59.999000064,8077.88434759,130789.0,84381.54200000,3812.61700879,0
2017-11-30,0.043375,0.0446,0.0425,0.043651,128643.983,2017-11-30 23:59:59.999000064,5602.60073339,101225.0,66401.70200000,2892.08548122,0
2017-12-01,0.043684,0.044329,0.042275,0.042397,83006.121,2017-12-01 23:59:59.999000064,3596.96984104,76803.0,40633.85900000,1761.03625471,0
2017-12-02,0.042397,0.0427,0.0416,0.041978,89215.306,2017-12-02 23:59:59.999000064,3758.35169188,92378.0,43722.56800000,1842.25918823,0
2017-12-03,0.041937,0.042371,0.040418,0.041141,88525.846,2017-12-03 23:59:59.999000064,3662.13413428,82078.0,42123.84800000,1743.34848460,0
2017-12-04,0.041155,0.041312,0.040071,0.040181,98930.818,2017-12-04 23:59:59.999000064,4016.47696198,95553.0,47442.92500000,1926.88348071,0
2017-12-05,0.040182,0.040367,0.038308,0.038757,144245.021,2017-12-05 23:59:59.999000064,5674.75665019,140350.0,71997.75200000,2832.13087024,0
2017-12-06,0.038717,0.038859,0.029406,0.030396,197234.693,2017-12-06 23:59:59.999000064,6828.88106465,165713.0,100140.58600000,3469.86389275,0
2017-12-07,0.030396,0.032059,0.024251,0.024565,189629.165,2017-12-07 23:59:59.999000064,5327.3327155,182840.0,95415.12100000,2679.62449423,0
2017-12-08,0.024562,0.032,0.023121,0.027855,182157.588,2017-12-08 23:59:59.999000064,5041.75047725,221640.0,91865.46000000,2525.90681808,0
2017-12-09,0.027863,0.0349,0.027254,0.031311,172054.661,2017-12-09 23:59:59.999000064,5399.82876333,177815.0,86936.63600000,2723.23897148,0
2017-12-10,0.031317,0.032896,0.027887,0.028692,147319.083,2017-12-10 23:59:59.999000064,4525.42022745,151851.0,77086.10200000,2366.49479366,0
2017-12-11,0.028692,0.0312,0.026746,0.0307,161365.035,2017-12-11 23:59:59.999000064,4568.05001634,148398.0,81756.65900000,2313.56403768,0
2017-12-12,0.030701,0.04,0.029773,0.038,343528.145,2017-12-12 23:59:59.999000064,11731.90530402,265861.0,159081.04700000,5418.00067975,0
2017-12-13,0.038,0.044245,0.036052,0.04281,245846.142,2017-12-13 23:59:59.999000064,9850.76234496,231326.0,120886.11400000,4838.95113108,0
2017-12-14,0.042811,0.0465,0.0396,0.041549,313120.517,2017-12-14 23:59:59.999000064,13483.96662078,305154.0,149946.83900000,6444.86517394,0
2017-12-15,0.04155,0.04166,0.033501,0.038579,242164.913,2017-12-15 23:59:59.999000064,9118.41046237,237823.0,122339.50000000,4601.40759313,0
2017-12-16,0.038579,0.040898,0.0348,0.035561,231007.092,2017-12-16 23:59:59.999000064,8723.59749337,201459.0,108347.82200000,4087.20210982,0
2017-12-17,0.03556,0.038605,0.035532,0.037448,243293.263,2017-12-17 23:59:59.999000064,8995.75914993,263590.0,119238.80000000,4410.51755387,0
2017-12-18,0.037343,0.043112,0.036995,0.041569,317888.672,2017-12-18 23:59:59.999000064,12440.51326809,310378.0,152524.82000000,5964.02605593,0
2017-12-19,0.04153,0.047,0.040957,0.046212,317638.758,2017-12-19 23:59:59.999000064,14266.68078194,374718.0,146512.72800000,6584.42455713,0
2017-12-20,0.046229,0.049,0.044,0.048268,313914.69,2017-12-20 23:59:59.999000064,14721.19208895,358044.0,145477.14100000,6824.66959122,0
2017-12-21,0.048266,0.0517,0.047601,0.05063,330898.373,2017-12-21 23:59:59.999000064,16450.2950198,360595.0,156090.40900000,7763.09104182,0
2017-12-22,0.05058,0.051491,0.04534,0.047606,369569.077,2017-12-22 23:59:59.999000064,17912.26488012,416572.0,176645.46600000,8562.47952539,0
2017-12-23,0.047601,0.049019,0.047498,0.04814,283169.619,2017-12-23 23:59:59.999000064,13683.99015654,330930.0,137894.09500000,6667.02614855,0
